e1	e2	g1	g2	score	e1-tag	e2-tag
abstract	rose	abstrakt	rosa	13	n	n
apartment	valley	Wohnung	Tal	14	n	n
fountain	parade	Springbrunnen	Parade	18	j	n
concrete	interior	Beton	Innenraum	20	v	j
orange	raspberry	Orange	Himbeere	31	j	n
flame	sidewalk	Flamme	Gehweg	5	n	j
bloom	purple	Blüte	lila	24	n	n
cocktail	garage	cocktail	garage	12	v	v
green	violet	grün	violett	39	j	n
daffodil	petal	Narzisse	Blütenblatt	36	n	n
dude	feel	Kumpel	Gefühl	12	n	n
bike	patio	Fahrrad	Terrasse	21	n	n
origami	stadium	Origami	Stadion	6	n	n
apartment	floor	Wohnung	Etage	33	n	n
cheerleader	scenery	Cheerleader	Kulisse	14	j	j
cafe	spiral	Cafe	Spirale	10	n	n
jump	stitch	springen	nähen	10	n	n
cone	windmill	Kegel	Windrad	20	n	n
grave	gravestone	Grab	Grabstein	44	n	n
leg	stripe	Bein	Streifen	16	j	n
camel	highway	Kamel	Landstraße	6	n	n
couple	old	Paar	alt	20	n	n
dew	sunshine	Tau	Sonnenschein	18	n	n
arch	wall	Bogen	Wand	24	n	v
splash	water	Spritzen	Wasser	38	n	n
green	yellow	grün	gelb	34	v	n
art	christmas	kunst	weihnachten	15	n	n
dead	sidewalk	tot	Bürgersteig	7	n	n
metro	station	U-Bahn	Bahnhof	37	v	n
ripple	shadow	Welligkeit	Schatten	15	j	n
daisy	violet	Gänseblümchen	Veilchen	38	n	n
action	dress	Aktion	Kleidung	15	n	j
makeup	reflection	Make-up	Reflexion	24	n	n
petal	yellow	Blütenblatt	gelb	34	n	n
ocean	water	Meer	Wasser	46	n	n
mist	sunny	Nebel	Sonne	24	n	j
bakery	cake	Bäckerei	Kuchen	43	n	n
stone	wall	Stein	Wand	38	n	n
hill	path	Hügel	Weg	29	v	n
noodle	rice	Nudel	Reis	41	j	n
insect	rodent	Insekt	Nagetier	28	n	v
bicycle	handwriting	Fahrrad	Handschrift	7	n	n
shop	shopping	Shop	Einkaufen	44	n	n
feel	hang	fühlen	hängen	10	n	n
cute	idea	niedlich	Idee	17	j	n
fishing	rainbow	Angeln	Regenbogen	11	n	n
aircraft	flight	Flugzeug	Flug	45	n	n
bright	violet	hell	violett	18	n	n
coast	sketch	Küste	Skizze	18	n	v
ceramic	live	keramisch	lebendig	13	n	n
bright	sky	hell	Himmel	36	n	n
bar	sushi	Bar	Sushi	37	n	j
bed	furniture	Bett	Möbel	45	n	n
breakfast	morning	Frühstück	Vormittag	42	n	n
chicken	pepper	Huhn	Pfeffer	20	n	n
black	dark	schwarz	dunkel	47	n	n
light	neon	Licht	Neon	35	n	n
berry	purple	beere	lila	31	n	n
foot	piano	Fuß	Klavier	21	n	n
crab	grave	Krabbe	Grab	6	n	n
cute	happy	niedlich	glücklich	27	j	n
lamb	sheep	Lamm	Schaf	40	n	n
party	scooter	Party	Scooter	12	n	n
bud	shade	Knospe	Schatten	15	n	n
eat	fruit	essen	Obst	37	n	n
boy	school	Junge	Schule	31	j	n
scenery	trail	Landschaft	Weg	32	n	v
dancer	rusty	Tänzer	rostig	9	n	n
square	town	Platz	Stadt	21	n	n
baseball	game	Baseball	Spiel	38	n	n
day	lunch	Tag	Mittagessen	29	n	n
night	sunny	Nacht	sonnig	19	n	v
clown	flood	Clown	Hochwasser	6	n	n
postcard	texture	Postkarte	Textur	15	n	n
iron	steel	Eisen	Stahl	43	n	n
berry	ivy	Beere	Efeu	24	j	n
feel	tear	fühlen	reißen	24	n	n
mom	smile	Mama	Lächeln	20	j	n
brick	house	Ziegel	Haus	36	n	j
beach	sand	Strand	Sand	48	n	j
cottage	sleep	Hütte	Schlaf	27	n	n
coast	sink	Küste	Senke	18	n	n
hamster	party	Hamster	Party	6	n	n
baseball	shirt	Baseball	Hemd	25	n	n
restaurant	shopping	Restaurant	Einkaufsmöglichkeiten	26	n	n
dark	violet	dunkel	violett	21	n	n
breakfast	floor	Frühstück	Boden	12	n	n
branch	lego	Zweig	Lego	6	n	n
pug	terrier	Mops	Terrier	34	n	n
mud	sand	Schlamm	Sand	32	n	n
salad	strawberry	Salat	Erdbeere	27	n	n
eat	rabbit	essen	Kaninchen	23	n	n
dead	face	tot	Gesicht	14	v	n
lunch	sit	Mittagessen	sitzen	26	n	n
dessert	meat	Nachspeise	Fleisch	19	n	n
monkey	oak	Affe	Eiche	14	n	j
kiss	smile	küssen	lächeln	23	j	n
guy	sit	Kerl	sitzen	17	n	n
airplane	airport	Flugzeug	Flughafen	41	n	n
city	old	Stadt	alt	18	n	n
lake	water	See	Wasser	45	n	n
quote	santa	Zitat	Weihnachtsmann	12	n	n
snow	winter	Schnee	Winter	44	n	n
wet	winter	nass	Winter	29	n	n
dragon	metal	Drache	Metall	18	n	n
painting	portrait	Malerei	Porträt	43	j	n
potato	soup	Kartoffel	Suppe	33	n	n
moon	mushroom	Mond	Pilz	11	j	n
band	stocking	Band	Strumpf	16	v	n
river	water	Fluss	Wasser	49	j	j
waterfall	wood	Wasserfall	Holz	16	j	n
mist	morning	Nebel	Morgen	33	n	v
fishing	sea	Fischerei	Meer	41	n	n
dawn	sunrise	Morgengrauen	Sonnenaufgang	43	n	v
night	stop	Nacht	Halt	17	n	n
asphalt	crane	Asphalt	Kran	16	n	n
colour	rainbow	Farbe	Regenbogen	41	n	n
red	tea	rot	Tee	17	n	n
coffee	lunch	Kaffee	Mittagessen	23	n	n
clothes	outfit	Kleidung	Outfit	44	n	n
scenery	valley	Kulisse	Tal	33	j	n
post	white	Pfosten	Weiß	16	n	v
carrot	soup	Karotte	Suppe	32	n	n
band	track	Band	Spur	22	n	n
sun	sunlight	Sonne	Sonnenlicht	50	v	v
evening	fun	Abend	Spaß	28	v	v
cop	music	Polizist	Musik	8	n	v
roof	wall	Dach	Wand	38	v	n
bar	female	Bar	Buchse	13	n	n
parrot	wing	Papagei	Flügel	38	n	n
carrot	fruit	Karotte	Obst	26	n	n
orange	school	orange	Schule	10	v	n
rice	yellow	Reis	gelb	24	j	j
pepper	potato	Pfeffer	Kartoffel	31	n	n
porch	room	Veranda	Zimmer	24	n	n
demolition	interior	Abriss	Innenausbau	18	n	n
camel	outdoor	Kamel	Outdoor	20	n	v
foliage	fruit	Laub	Früchte	30	n	n
idea	rusty	Idee	rostig	9	n	j
collage	stream	Collage	Strom	12	n	n
dandelion	plant	Löwenzahn	Pflanze	44	n	n
creature	reading	Lebewesen	Lesen	9	n	n
cat	purple	Katze	lila	7	n	n
oak	petal	Eiche	Blütenblatt	17	n	n
apple	orange	Apfel	Orange	43	n	n
aquarium	seagull	Aquarium	Möwe	18	v	j
construction	violet	Konstruktion	Violett	3	n	n
purple	violet	lila	violett	39	n	n
cafe	reflection	Cafe	Reflexion	13	n	n
hawk	pelican	Habicht	Pelikan	35	n	n
seagull	tag	Möwe	Tag	8	j	n
animal	giraffe	Tier	Giraffe	37	n	n
baseball	hockey	Baseball	Hockey	38	n	n
bed	kitchen	Bett	Küche	17	v	n
morning	time	Morgen	Uhrzeit	32	n	n
architecture	building	Architektur	Bauwesen	44	n	n
scenery	sunny	Kulisse	sonnig	28	n	n
clothes	skirt	Kleidung	Rock	37	n	n
ancient	ruin	uralt	verfallen	38	n	n
porch	roof	Veranda	Dach	41	n	n
splash	swimming	Planschen	Schwimmen	45	n	n
canyon	piano	Canyon	Klavier	5	n	n
gold	texture	Gold	Textur	16	n	n
card	party	Karte	Party	23	n	n
beef	downtown	Rindfleisch	Stadtzentrum	13	n	n
airport	asphalt	Flughafen	Asphalt	23	n	n
costume	dress	Kostüm	Kleid	37	n	n
green	phone	grün	Telefon	10	n	n
action	whisker	Action	Schnurrbart	9	n	n
couple	male	Paar	männlich	20	n	n
brick	staircase	Ziegel	Treppenhaus	28	n	n
cake	chocolate	Kuchen	Schokolade	42	n	n
porch	stone	Veranda	Stein	20	n	n
apple	raspberry	Apfel	Himbeere	39	n	n
club	river	Club	Fluss	9	n	n
bay	porch	Erker	Veranda	17	n	n
auto	santa	auto	weihnachtsmann	7	n	n
dress	wedding	Kleid	Hochzeit	43	n	n
interior	room	Interieur	Raum	39	n	j
door	window	Tür	Fenster	36	n	n
bed	room	Bett	Zimmer	37	n	n
animal	candy	Tier	Süßigkeiten	6	n	n
boxer	pyramid	Boxer	Pyramide	11	n	j
chocolate	strawberry	Schokolade	Erdbeere	35	n	n
child	family	Kind	Familie	37	n	n
shore	small	Ufer	klein	12	n	v
subway	valentine	U-Bahn	Valentine	6	j	j
black	paw	schwarz	Pfote	13	n	j
city	downtown	Stadt	Stadtzentrum	29	n	n
family	red	Familie	Rot	5	n	n
duck	goose	Ente	Gans	39	n	n
cattle	goat	Rind	Ziege	29	n	n
bedroom	door	Schlafzimmer	Tür	38	n	v
carrot	design	Karotte	Design	2	n	n
stocking	tomato	Strumpf	Tomate	7	n	n
palm	twig	Palme	Zweig	24	j	j
bird	pregnancy	Vogel	Schwangerschaft	9	n	n
shade	sunlight	Schatten	Sonnenlicht	30	n	n
blue	swing	blau	schwingen	12	j	n
cherry	vine	Kirsche	Wein	22	n	j
evening	lunch	Abend	Mittagessen	23	n	j
colour	red	Farbe	Rot	41	n	n
foliage	frost	Laub	Frost	19	j	n
lock	mannequin	Schloss	Schaufensterpuppe	9	n	n
porch	window	Veranda	Fenster	28	n	n
city	square	Stadt	Platz	28	n	j
giraffe	zebra	Giraffe	Zebra	40	n	n
bud	daffodil	Knospe	Narzisse	39	n	n
interior	mushroom	Innenraum	Pilz	5	v	n
dinner	sleep	Abendessen	Schlaf	16	n	n
bear	live	tragen	leben	35	v	v
bread	salad	Brot	Salat	31	n	n
hummingbird	nest	Kolibri	Nest	35	n	v
haircut	stop	Haarschnitt	Anschlag	7	j	n
river	stream	Fluss	Bach	45	n	n
lick	origami	lecken	Origami	8	v	n
air	cold	Luft	Kälte	35	n	n
cross	pub	Kreuz	Kneipe	12	n	n
skateboard	swimsuit	Skateboard	Badeanzug	20	n	j
lake	scenery	See	Landschaft	28	n	n
bed	picture	Bett	Bild	17	n	n
computer	lab	Computer	Labor	35	n	n
bathroom	ceiling	Bad	Decke	31	n	n
beef	tomato	Rindfleisch	Tomate	28	n	n
canal	silhouette	Kanal	Silhouette	5	j	n
band	concert	Band	Konzert	37	n	n
hot	sunny	heiß	sonnig	38	n	n
dance	hotel	Tanz	Hotel	21	n	n
auto	round	auto	rund	15	n	n
flight	whisker	Flug	Schnurrbart	4	n	n
bear	play	tragen	spielen	13	v	v
face	stop	Gesicht	Anschlag	7	n	n
church	porch	Kirche	Veranda	22	n	n
ivy	wall	Efeu	Mauer	22	n	n
raspberry	sweet	Himbeere	süß	34	n	n
garage	kitchen	Garage	Küche	30	n	n
chicken	lamb	Huhn	Lamm	32	n	v
food	gull	Essen	Möwe	20	n	v
face	lip	Gesicht	Lippe	42	v	n
camera	theatre	Kamera	Theater	29	n	n
downtown	hockey	Stadtzentrum	Hockey	14	j	j
puddle	rain	Pfütze	Regen	36	n	n
lamb	snow	Lamm	Schnee	23	n	n
storm	wind	Sturm	Wind	42	n	v
dirty	rabbit	schmutzig	Kaninchen	18	n	n
sit	time	sitzen	Zeit	22	n	n
glass	mill	Glas	Mühle	14	n	n
concert	music	Konzert	Musik	46	j	n
cherry	sweet	Kirsche	süß	26	n	n
amphibian	berry	Amphibie	Beere	6	n	n
leave	sit	gehen	sitzen	10	n	n
musician	piano	Musiker	Klavier	40	n	n
house	stop	Haus	Haltestelle	10	n	n
bathroom	bed	Bad	Bett	26	n	n
bakery	bread	Bäckerei	Brot	48	v	n
paint	puddle	Farbe	Pfütze	11	v	n
boxer	reflection	Boxer	Reflexion	13	n	n
gravestone	memorial	Grabstein	Gedenkstätte	38	n	n
paw	theatre	Pfote	Theater	5	v	n
desk	sit	Schreibtisch	sitzen	36	n	n
flight	owl	Flug	Eule	37	n	j
glitter	sunshine	Glitzer	Sonnenschein	31	n	n
dawn	drug	Dämmerung	Droge	12	n	n
bedroom	relax	Schlafen	Entspannen	26	n	n
chapel	church	Kapelle	Kirche	45	n	j
parade	table	Parade	Tisch	12	n	n
roof	staircase	Dach	Treppenhaus	28	n	n
bath	kitchen	Bad	Küche	27	v	n
pyramid	swimsuit	Pyramide	Badeanzug	6	n	n
sea	shore	Meer	Küste	43	n	n
floor	patio	Boden	Terrasse	34	n	n
brown	demolition	braun	Abriss	12	n	n
rain	wet	Regen	Nässe	42	n	n
stop	time	Stopp	Zeit	30	n	n
burn	fire	Brand	Feuer	42	n	n
colorful	lab	farbig	Labor	14	n	n
eagle	hawk	Adler	Falke	42	n	n
blue	shirt	blau	Hemd	24	j	n
metro	subway	U-	S-Bahnen	34	j	n
fruit	peel	Frucht	Schale	34	n	n
mushroom	pepper	Champignon	Pfeffer	28	n	n
cute	feel	niedlich	fühlen	22	j	v
boardwalk	drop	Promenade	Tropfen	13	n	v
run	train	laufen	trainieren	21	n	n
ceiling	room	Decke	Raum	36	n	n
chess	family	Schach	Familie	15	j	n
leave	night	Urlaub	Nacht	9	v	n
forest	hummingbird	Wald	Kolibri	23	n	n
petal	rose	Blütenblatt	Rose	42	n	j
eat	frozen	essen	einfrieren	23	n	n
furniture	pizza	Möbel	Pizza	4	v	n
lion	pelican	Löwe	Pelikan	19	n	n
hang	rusty	hängen	rosten	18	n	j
beach	scenery	Strand	Kulisse	34	n	n
relax	sunshine	Entspannung	Sonnenschein	20	n	n
food	frozen	Lebensmittel	Tiefkühlkost	37	j	n
coffee	room	Kaffee	Zimmer	20	n	n
christmas	valentine	weihnachten	valentinstag	28	j	j
ivy	tree	Efeu	Baum	35	n	n
bud	petal	Knospe	Blütenblatt	38	n	n
dog	silver	Hund	Silber	9	n	v
design	graphic	Design	Grafik	35	n	j
parade	salad	Parade	Salat	6	n	n
pepper	strawberry	Pfeffer	Erdbeere	24	n	n
body	miniature	Körper	Miniatur	11	n	n
day	misty	Tag	neblig	36	n	n
bath	room	Bad	Zimmer	35	n	n
skirt	white	Rock	Weiß	24	n	j
airplane	wing	Flugzeug	Flügel	41	v	v
sing	write	singen	schreiben	25	n	n
nut	sunflower	Nuss	Sonnenblume	29	j	n
interior	staircase	Innenraum	Treppenhaus	31	n	n
shore	tear	Ufer	Abriss	12	j	n
fountain	marble	Springbrunnen	Marmor	24	n	n
flamingo	stork	Flamingo	Storch	36	n	j
exhibition	museum	Ausstellung	Museum	44	n	n
burger	salad	Burger	Salat	30	n	n
rock	track	Rock	Track	23	n	n
band	bride	Band	Braut	16	n	n
blonde	haircut	Blond	Haarschnitt	32	n	v
harbour	scenery	Hafen	Kulisse	30	j	n
flame	word	Flamme	Wort	9	v	n
love	smile	Liebe	Lächeln	31	n	n
brown	purple	braun	lila	34	n	n
cloud	droplet	Wolke	Tröpfchen	36	j	n
button	flower	Knopf	Blume	13	n	n
insect	number	Insekt	Anzahl	15	n	n
cherry	peel	Kirsche	Schale	16	n	j
bud	foliage	Knospe	Blattwerk	38	n	n
sky	sunlight	Himmel	Sonnenlicht	41	n	n
shore	valley	Ufer	Tal	24	n	n
evening	misty	Abend	neblig	23	j	j
photo	picture	Foto	Bild	46	n	n
child	mother	Kind	Mutter	43	v	j
kiss	lip	Kuss	Lippe	41	n	n
bud	pink	Knospe	rosa	25	n	n
flower	lily	Blume	Lilie	37	n	n
dog	pug	Hund	Mops	40	n	n
hummingbird	moss	Kolibri	Moos	17	n	n
lick	puppy	lecken	Welpe	29	n	n
building	skyscraper	Gebäude	Wolkenkratzer	37	n	n
foot	mural	Fuß	Wandmalerei	12	n	n
apartment	beach	Wohnung	Strand	16	n	n
interior	toy	Interieur	Spielzeug	17	n	j
autumn	sunshine	Herbst	Sonnenschein	32	n	n
road	traffic	Straße	Verkehr	38	n	n
craft	note	Handwerk	Note	23	v	v
green	number	grün	Nummer	9	n	n
leaf	nature	Blatt	Natur	43	v	n
noodle	pigeon	Nudel	Taube	9	v	v
restaurant	shop	Restaurant	Geschäft	35	n	n
van	vine	Van	Rebe	8	n	v
pattern	pier	Muster	Pfeiler	13	n	n
bread	cliff	Brot	Klippe	3	n	n
cheetah	soup	Gepard	Suppe	3	n	n
lab	rusty	Labor	rostig	10	n	n
bedroom	porch	Schlafzimmer	Veranda	18	n	n
mammal	reptile	Säugetier	Reptil	25	n	n
crow	hawk	Krähe	Falke	38	n	n
family	old	Familie	Alter	18	n	n
dark	grey	dunkel	grau	31	n	n
camera	painting	Kamera	Malerei	22	n	v
animal	sandwich	Tier	Sandwich	11	n	n
pigeon	round	Taube	rund	18	n	n
tall	wool	Groß	Wolle	7	j	n
coin	musician	Münze	Musiker	15	n	n
sky	sunny	Himmel	Sonne	36	n	j
rail	station	Schiene	Bahnhof	34	n	n
bird	eagle	Vogel	Adler	44	n	n
restaurant	scenery	Restaurant	Kulisse	15	v	n
cake	christmas	Kuchen	Weihnachten	24	n	n
bike	hummingbird	Fahrrad	Kolibri	4	n	v
air	knit	Luft	stricken	7	n	n
music	sing	Musik	Gesang	42	n	n
apple	relax	Apfel	Entspannung	7	n	n
diner	muscle	Diner	Muskel	7	v	n
flag	quote	Flagge	Zitat	14	n	n
lily	pig	Lilie	Schwein	13	j	n
pizza	restaurant	Pizza	Restaurant	39	n	n
sunshine	winter	Sonnenschein	Winter	16	n	n
handwriting	write	Handschrift	Schreiben	44	n	j
morning	sunrise	Morgen	Sonnenaufgang	49	n	n
dinner	restaurant	Abendessen	Restaurant	43	n	n
dusk	hummingbird	Dämmerung	Kolibri	20	n	j
amphibian	dragonfly	Amphibie	Libelle	24	n	n
cow	milk	Kuh	Milch	45	n	n
bus	taxi	Bus	Taxi	41	n	n
fog	sunny	neblig	sonnig	28	n	j
dark	red	dunkel	rot	20	n	n
monster	rock	Ungeheuer	Fels	10	n	n
daffodil	tulip	Narzisse	Tulpe	44	v	n
drip	wash	Abtropfen	Waschen	31	n	n
apartment	pool	Wohnung	Pool	26	n	n
color	red	Farbe	Rot	42	n	j
station	train	Bahnhof	Zug	41	n	n
kitchen	room	Küche	Zimmer	41	n	n
cherry	strawberry	Kirsche	Erdbeere	37	n	n
evening	relax	Abend	entspannen	24	n	v
building	floor	Gebäude	Boden	33	j	v
cookie	peel	Keks	Schale	12	n	n
cactus	gasoline	Kaktus	Benzin	5	n	n
crystal	dirt	Kristall	Schmutz	18	n	n
car	parking	Auto	Parken	36	n	n
exhibition	sculpture	Ausstellung	Skulptur	36	n	n
animal	pet	Tier	Haustier	42	j	j
apartment	bathroom	Wohnung	Bad	29	n	n
diner	patio	Esszimmer	Terrasse	24	n	j
blue	poster	blau	Poster	14	n	n
feather	sunflower	Feder	Sonnenblume	10	n	n
amphibian	brown	amphibisch	braun	23	n	n
friend	rusty	Freund	rostig	10	n	n
concert	jazz	Konzert	Jazz	34	n	n
frost	snow	Frost	Schnee	46	n	n
hang	time	hängen	Zeit	17	n	n
bar	diner	Bar	Diner	32	n	n
coin	gold	Münze	Gold	38	n	v
eat	sweet	essen	süß	27	n	n
porch	pug	Veranda	Mops	9	n	n
club	sign	Verein	Zeichen	16	j	n
gravestone	pattern	Grabstein	Muster	19	n	n
cemetery	male	Friedhof	männlich	10	n	n
interior	porch	Innen	Veranda	20	n	n
bird	hawk	Vogel	Falke	44	n	j
train	underground	Zug	U-Bahn	27	n	j
noodle	soup	Nudel	Suppe	38	j	v
aquarium	coin	Aquarium	Münze	16	n	n
kid	mom	Kind	Mutter	40	n	n
burger	soup	Burger	Suppe	30	n	n
garage	mammal	Garage	Säugetier	5	n	n
carrot	pepper	Karotte	Pfeffer	28	n	n
neon	tank	Neon	Tank	7	n	n
school	tear	Schule	Abriss	15	n	n
eat	shade	essen	schattieren	11	n	n
music	musician	Musik	Musiker	41	n	n
kitten	lingerie	Kätzchen	Dessous	9	n	n
panorama	scenery	Panorama	Kulisse	38	n	n
happy	time	Glück	Zeit	24	n	v
bud	twig	Knospe	Zweig	37	n	v
hot	winter	heiß	Winter	9	j	n
mom	sit	Mutter	Sitz	15	v	v
abstract	vehicle	Abstrakt	Fahrzeug	6	n	n
movie	shopping	Kino	Einkaufen	22	j	n
butterfly	insect	Schmetterling	Insekt	42	n	n
fun	night	Spaß	Nacht	20	n	n
strawberry	tomato	Erdbeere	Tomate	34	n	n
cooking	rice	Kochen	Reis	37	n	n
guitar	music	Gitarre	Musik	40	n	v
surfer	wave	Surfer	Welle	37	n	n
game	hockey	Spiel	Hockey	44	n	n
stripe	tank	Streifen	Tank	11	n	n
collage	sculpture	Collage	Skulptur	26	n	n
mill	wild	Mühle	Wild	12	v	n
lake	shore	See	Ufer	39	n	n
pillow	stone	Kissen	Stein	7	n	n
art	beer	Kunst	Bier	9	n	n
foliage	ivy	Laub	Efeu	31	n	j
sky	sun	Himmel	Sonne	40	n	n
seagull	urban	Möwe	Stadt	14	n	j
bakery	panorama	Bäckerei	Panorama	7	j	n
beard	kitty	Bart	Kätzchen	14	n	j
colour	grey	Farbe	Grau	38	j	n
breakfast	sit	frühstücken	sitzen	22	n	j
friend	love	Freund	Liebe	32	n	j
bed	breakfast	Übernachtung	Frühstück	34	n	n
beetle	chocolate	Käfer	Schokolade	8	n	n
porch	tower	Veranda	Turm	20	j	j
brown	insect	braun	Insekt	18	n	n
chicken	rice	Huhn	Reis	34	n	j
collage	paint	Collage	Farbe	28	n	n
gate	pebble	Tor	Kieselstein	17	n	n
collection	jellyfish	Sammlung	Quallen	11	n	j
shirt	sock	Hemd	Socke	31	n	n
cafe	dinner	Cafe	Abendessen	33	n	n
bag	pillow	Tasche	Kopfkissen	31	n	j
airplane	fly	Flugzeug	fliegen	41	j	n
dinner	sit	Essen	sitzen	32	n	v
frog	subway	Frosch	U-Bahn	5	n	v
dude	smile	Kumpel	Lächeln	18	n	n
colorful	toy	bunt	spielerisch	22	j	n
husky	match	Husky	Streichholz	12	n	n
lamp	light	Lampe	Licht	42	n	j
bedroom	room	Schlafzimmer	Zimmer	41	n	n
fashion	outfit	Mode	Outfit	39	v	v
lighting	stone	Beleuchtung	Stein	12	n	j
cigarette	live	Zigarette	leben	10	n	n
soup	sweet	Suppe	Süßes	19	j	n
guy	rusty	Kerl	rostig	8	n	v
bright	fruit	hell	fruchtig	20	n	v
garbage	lunch	Müll	Mittagessen	17	v	n
blur	eye	Unschärfe	Auge	25	n	n
mist	wet	Nebel	Nässe	39	n	n
bacon	salad	Speck	Salat	30	n	n
line	railway	Linie	Eisenbahn	34	n	n
chicken	knit	Huhn	stricken	4	n	j
hummingbird	tropical	Kolibri	tropisch	26	n	j
blue	skirt	blau	Rock	22	n	n
chapel	gravestone	Kapelle	Grabstein	28	n	v
people	stop	Menschen	stoppen	13	n	v
blue	green	blau	grün	36	n	n
drip	hot	tropfend	heiß	20	n	n
bright	sunny	hell	sonnig	44	n	n
harbor	sailing	Hafen	Segeln	39	n	n
carrot	potato	Karotte	Kartoffel	39	n	n
branch	protest	Zweig	Protest	9	n	n
patio	wash	Terrasse	Waschen	18	n	n
bacon	eat	Speck	essen	33	n	n
face	happy	Gesicht	glücklich	32	n	n
bloom	friend	Blüte	Freund	7	j	n
blonde	curl	blond	lockig	27	n	n
house	staircase	Haus	Treppenhaus	30	n	n
dragonfly	insect	Libelle	Insekt	40	n	n
roof	stair	Dach	Treppe	30	n	n
dessert	orange	Dessert	Orange	25	n	n
cafe	lizard	Cafe	Eidechse	2	n	v
abstract	museum	abstrakt	museal	30	n	n
hill	mountain	Hügel	Berg	43	j	n
blue	sock	blau	Socke	17	j	n
demolition	tall	Abriss	hoch	15	n	j
bedroom	staircase	Schlafzimmer	Treppenhaus	24	n	n
guitar	track	Gitarre	Schiene	26	n	n
circle	wig	Kreis	Perücke	12	n	n
bedroom	downtown	Schlafzimmer	Stadtzentrum	8	n	n
scenery	sunshine	Kulisse	Sonnenschein	28	n	n
belly	dark	bauchig	dunkel	9	n	j
door	wall	Tür	Wand	40	n	n
rain	storm	Regen	Sturm	49	n	j
face	tear	Gesicht	Träne	38	n	n
blue	fabric	blau	Stoff	26	n	j
bay	shore	Bucht	Küste	39	n	n
collar	garbage	Kragen	Müll	9	n	n
smile	stop	lächeln	anhalten	11	n	n
petal	shade	Blütenblatt	Schatten	19	n	n
dirty	haircut	schmutzig	Haarschnitt	13	j	n
arch	bridge	Bogen	Brücke	28	n	n
ceramic	tile	Keramik	Kacheln	36	n	n
festival	gate	Fest	Tor	26	n	n
glass	vinyl	Glas	Vinyl	29	j	j
coffee	mug	Kaffee	Becher	37	j	n
paper	tattoo	Papier	Tattoo	16	n	n
night	sleep	Nacht	Schlaf	41	n	j
asphalt	road	Asphalt	Straße	40	n	n
bright	red	hell	rot	30	n	n
cooking	meat	Kochen	Fleisch	39	v	n
apple	cute	Apfel	süß	2	n	n
dragonfly	reptile	Libelle	Reptil	25	n	n
splash	wash	Spritzen	Waschen	35	n	n
chapel	porch	Kapelle	Veranda	19	n	n
paint	sculpture	Farbe	Skulptur	28	n	n
boot	cliff	Stiefel	Klippe	13	n	n
goat	vinyl	Ziege	Vinyl	7	n	n
church	soldier	Kirche	Soldat	13	j	n
pepper	sunflower	Pfeffer	Sonnenblume	17	n	n
cold	sunshine	Kälte	Sonnenschein	18	n	n
daisy	pink	Gänseblümchen	rosa	24	n	j
abstract	rally	Abstrakt	Rallye	14	n	v
bathroom	sleep	Bad	Schlaf	15	n	n
happy	kiss	glücklich	küssen	26	v	v
colour	dark	Farbe	dunkel	28	n	j
colour	wild	Farbe	wild	12	n	n
bottle	wine	Flasche	Wein	40	n	n
bedroom	ceiling	Schlafzimmer	Decke	38	n	n
foliage	tree	Laub	Baum	41	n	v
floor	stair	Boden	Treppe	29	n	n
carrot	sunflower	Karotte	Sonnenblume	25	n	n
feel	sit	fühlen	sitzen	18	n	n
music	track	Musik	Spur	35	n	n
lunch	morning	Mittagessen	Vormittag	21	n	n
fungus	moss	Pilz	Moos	31	n	n
foliage	garden	Laub	Garten	37	n	n
outfit	sock	Outfit	Socke	39	n	n
hang	happy	hängen	glücklich	13	v	j
mountain	sea	Berg	Meer	26	n	n
crochet	family	häkeln	Familie	11	v	n
harbor	shore	hafen	küste	39	n	n
sun	sunrise	Sonne	Sonnenaufgang	44	j	n
lamb	mother	Lamm	Mutter	23	n	n
camera	mallard	Kamera	Stockente	9	n	j
leather	swan	Leder	Schwan	5	j	n
blossom	foliage	Blüte	Laub	38	n	n
mammal	nest	Säugetier	Nest	20	n	n
demolition	skyline	Abriss	Skyline	16	n	n
cooking	frozen	Kochen	Gefrieren	26	j	j
pelican	toe	Pelikan	Zehe	18	n	n
couple	female	Paar	Frau	21	n	n
leather	shoe	Leder	Schuh	42	n	n
clothes	haircut	Kleidung	Haarschnitt	22	n	n
play	stadium	Spiel	Stadion	31	n	n
desert	roof	Wüste	Dach	8	n	n
aircraft	wing	Flugzeug	Flügel	43	n	n
punk	toe	Punk	Zehe	9	n	n
coast	sailing	Küste	Segeln	31	n	n
automobile	police	Automobil	Polizei	22	v	n
gull	stork	Möwe	Storch	33	j	n
colorful	frame	bunt	Rahmen	21	n	n
misty	scenery	neblig	landschaftlich	26	n	n
dawn	misty	dämmerig	neblig	31	n	n
cute	post	niedlich	Post	11	n	n
bag	wire	Tasche	Draht	14	n	n
reading	seagull	Lesen	Möwe	5	n	n
dusk	morning	Dämmerung	Morgen	33	n	n
breakfast	evening	Frühstück	Abend	18	n	n
hummingbird	stork	Kolibri	Storch	38	n	n
bathroom	staircase	Bad	Treppenhaus	21	n	n
shore	town	Ufer	Stadt	24	n	n
bed	relax	Bett	entspannen	39	j	v
colour	orange	Farbe	Orange	34	n	n
beard	sport	Bart	Sport	8	n	v
canyon	river	Schlucht	Fluss	36	n	n
fungus	leather	Pilz	Leder	9	n	n
arch	concrete	Bogen	Beton	23	n	n
